Name,Type,,,
True_Rand,Numeric,,,
rand_seg,Numeric,,,
AGREEMENT_ID,Numeric,,,
G_VIN,Character,,,
CUSTOMER_ID,Numeric,,,
G_PolNum,Character,,,
G_PED,Date,,,
COV_EFF_DT,Date,,,
BEG_DATE,Date,,,
END_DATE,Date,,,
VEH_ZIP5,Character,,,
ALL_EP,Numeric,,,
BIPD_EP,Numeric,,,
BI_EP,Numeric,,,
PD_EP,Numeric,,,
MP_EP,Numeric,,,
UMUIM_EP,Numeric,,,
PIP_EP,Numeric,,,
COMP_EP,Numeric,,,
COLL_EP,Numeric,,,
RR_EP,Numeric,,,
TL_EP,Numeric,,,
ALL_EE,Numeric,,,
BIPD_EE,Numeric,,,
MP_EE,Numeric,,,
UMBI_EE,Numeric,,,
UIMBI_EE,Numeric,,,
UMPD_EE,Numeric,,,
PIP_EE,Numeric,,,
COMP_EE,Numeric,,,
COLL_EE,Numeric,,,
RR_EE,Numeric,,,
TL_EE,Numeric,,,
BI_Acc_Cnt,Numeric,,,
PD_Acc_Cnt,Numeric,,,
MP_Acc_Cnt,Numeric,,,
PIP_Acc_Cnt,Numeric,,,
UMBI_Acc_Cnt,Numeric,,,
UIMBI_Acc_Cnt,Numeric,,,
UMPD_Acc_Cnt,Numeric,,,
COLL_Acc_Cnt,Numeric,,,
COMP_Acc_Cnt,Numeric,,,
COMP_THEFT_Acc_Cnt,Numeric,,,
COMP_GLASS_Acc_Cnt,Numeric,,,
COMP_WTHR_Acc_Cnt,Numeric,,,
COMP_FIRE_Acc_Cnt,Numeric,,,
COMP_ANIMAL_Acc_Cnt,Numeric,,,
COMPxCAT_Acc_Cnt,Numeric,,,
RR_Acc_Cnt,Numeric,,,
TL_Acc_Cnt,Numeric,,,
ALL_LandE_u,Numeric,,,
BI_LandE_u,Numeric,,,
UMBI_LandE_u,Numeric,,,
UIMBI_LandE_u,Numeric,,,
PD_LandE_u,Numeric,,,
UMPD_LandE_u,Numeric,,,
MP_LandE_u,Numeric,,,
PIP_LandE_u,Numeric,,,
COLL_LandE_u,Numeric,,,
COMP_LandE_u,Numeric,,,
COMP_THEFT_LandE_u,Numeric,,,
COMP_GLASS_LandE_u,Numeric,,,
COMP_WTHR_LandE_u,Numeric,,,
COMP_FIRE_LandE_u,Numeric,,,
COMP_ANIMAL_LandE_u,Numeric,,,
COMPxCAT_LandE_u,Numeric,,,
RR_LandE_u,Numeric,,,
TL_LandE_u,Numeric,,,
ALL_LandE_d,Numeric,,,
BI_LandE_d,Numeric,,,
UMBI_LandE_d,Numeric,,,
UIMBI_LandE_d,Numeric,,,
PD_LandE_d,Numeric,,,
UMPD_LandE_d,Numeric,,,
MP_LandE_d,Numeric,,,
PIP_LandE_d,Numeric,,,
COLL_LandE_d,Numeric,,,
COMP_LandE_d,Numeric,,,
COMP_THEFT_LandE_d,Numeric,,,
COMP_GLASS_LandE_d,Numeric,,,
COMP_WTHR_LandE_d,Numeric,,,
COMP_FIRE_LandE_d,Numeric,,,
COMP_ANIMAL_LandE_d,Numeric,,,
COMPxCAT_LandE_d,Numeric,,,
Policy_Digit,Numeric,,,
Year,Numeric,,,
EARNINGS_PERIOD,Numeric,,,
RatingState,Numeric,,,
SAS2EMB_State,Numeric,,,
Policy_Reason,Numeric,,,
Policy_Program,Numeric,,,
TenureMonthGroup_Mod2,Numeric,,,
NB_Quote_Month,Numeric,,,
Channel,Numeric,,,
prior_end_cnt,Numeric,,,
prior_EDR_GEN_INFO_cnt,Numeric,,,
prior_EDR_VEH_INFO_cnt,Numeric,,,
prior_EDR_VEH_CHG_cnt,Numeric,,,
prior_EDR_DRV_CHG_cnt,Numeric,,,
prior_EDR_COV_CHG_cnt,Numeric,,,
State_Min_BI,Numeric,,,
BI_Limit,Numeric,,,
PD_Limit,Numeric,,,
MP_Limit,Numeric,,,
PIP_Limit,Numeric,,,
PIP_Ded,Numeric,,,
UM_Limit,Numeric,,,
UIM_Limit,Numeric,,,
UMPD_Limit,Numeric,,,
Coll_Ded,Numeric,,,
Comp_Ded,Numeric,,,
Comp_Gls,Numeric,,,
RR_Limit,Numeric,,,
TL_Limit,Numeric,,,
Better_Car,Numeric,,,
Loan_Lease,Numeric,,,
PIBS_Band_URE_Insured,Numeric,,,
PIBS_Composite,Numeric,,,
PIBS_Band_A_Insured,Numeric,,,
PIBS_A_Composite,Numeric,,,
PIBS_Band_B_Insured,Numeric,,,
PIBS_B_Composite,Numeric,,,
PIBS_Band_C_Insured,Numeric,,,
PIBS_C_Composite,Numeric,,,
PIBS_Band_D_Insured,Numeric,,,
PIBS_D_Composite,Numeric,,,
PIBS_Band_E_Insured,Numeric,,,
PIBS_E_Composite,Numeric,,,
PIBS_Band_F_Insured,Numeric,,,
PIBS_F_Composite,Numeric,,,
PIBS_Band_G_Insured,Numeric,,,
PIBS_G_Composite,Numeric,,,
DaysWithoutInsurance_Mod2,Numeric,,,
TenurewithPreviousInsurer_Group_,Numeric,,,
MinBI_Limit_NB,Numeric,,,
Prior_Carrier_Grp_Level,Numeric,,,
Advance_Quote_Days_DDM3,Numeric,,,
Bind_day_time,Numeric,,,
Decision_time,Numeric,,,
UNIQUE_NB_ITER_PREMS,Numeric,,,
FB_OVER_MAX_ITER_PREM,Numeric,,,
Account_UMB,Numeric,,,
Account_Life,Numeric,,,
Account_Other_AO,Numeric,,,
Account,Numeric,,,
Account_Detail,Numeric,,,
Distinct_Pols,Numeric,,,
AO_Pol_Cnt,Numeric,,,
HO_Pol_Cnt,Numeric,,,
Residence_Type_Mod2,Numeric,,,
Education_Mod2,Numeric,,,
Occ_Category_Level_Grouped,Numeric,,,
ACS_Detail,Numeric,,,
Phone_type,Numeric,,,
EMAIL_ind,Numeric,,,
Other_addresses,Numeric,,,
BillPlan_Mod2,Numeric,,,
Down_Pay_Meth,Numeric,,,
Payment_types_3Year,Numeric,,,
Refunds_Prior_3Year,Numeric,,,
CC_Declined_Prior_3Year,Numeric,,,
Reinstate_Prior_3Years,Numeric,,,
LatePay_Prior_3Years,Numeric,,,
NMD_ISU_ODR_NB,Numeric,,,
MaritalGenderGroup,Numeric,,,
MaritalStatus,Numeric,,,
DriverAge_DDM1,Numeric,,,
Youthful_Driver_Indicator,Numeric,,,
Years_Licensed_DDM3,Numeric,,,
Op_Age_Delta_to_maxNI,Numeric,,,
NumberVehiclesDrivers_Mod2,Numeric,,,
MinimumAge_DDM1,Numeric,,,
MaximumAge_DDM1,Numeric,,,
Min_Years_Licensed_DDM2,Numeric,,,
Max_Years_Licensed_DDM2,Numeric,,,
NumberMarried,Numeric,,,
Gender_Composition,Numeric,,,
NumberChildRelations,Numeric,,,
Parent_type,Numeric,,,
Youthful_Driver_Cnt,Numeric,,,
Adult_Driver_Cnt,Numeric,,,
Not_Rated_Driver_Count_Mod2,Numeric,,,
NB_UNLST_DRV,Numeric,,,
NB_DROP_DRIVER,Numeric,,,
NB_DROP_YOUNGER,Numeric,,,
Name_Diversity,Numeric,,,
NI_Age_Delta,Numeric,,,
Older_Rated_Drivers,Numeric,,,
Listed_NI,Numeric,,,
DEF_IND,Numeric,,,
FDL_Indicator_DDM3,Numeric,,,
UDR_Indicator_DDM3,Numeric,,,
FRS_Indicator,Numeric,,,
Affinity,Numeric,,,
GoodStudent,Numeric,,,
DistantStudent,Numeric,,,
DriverTraining,Numeric,,,
MatureDriverTraining,Numeric,,,
Paperless_g,Numeric,,,
Military_g,Numeric,,,
YearsSince_Last_RateOcc_Pol_DDM3,Numeric,,,
YearsSince_Last_Accident_Pol_DDM,Numeric,,,
YearsSince_Last_Violation_Pol_DD,Numeric,,,
Accident_Free_5yr_Discount_Ind_D,Numeric,,,
Violation_Free_5yr_Discount_Ind_,Numeric,,,
Accident_Free_3yr_Discount_Ind_D,Numeric,,,
Violation_Free_3yr_Discount_Ind_,Numeric,,,
Ratable_Occurrence_3Yr_Drv_All_D,Numeric,,,
AFA_750_Above_3yr_Drv_All_DDM3,Numeric,,,
Violation_3yr_Drv_All_DDM3,Numeric,,,
Minor_Incidental_3yr_Drv_All_DDM,Numeric,,,
Minor_Dangerous_3yr_Drv_All_DDM3,Numeric,,,
Speed_Typical_3yr_Drv_All_DDM3,Numeric,,,
Major_3yr_Drv_All_DDM3,Numeric,,,
DUI_3yr_Drv_All_DDM3,Numeric,,,
Max_Number_RateOcc_5yr_SingleDri,Numeric,,,
Ratable_Occurrence_5yr_Pol_All_D,Numeric,,,
AFA_750_Above_5yr_Pol_All_DDM3,Numeric,,,
AFA_750_9999_5yr_Pol_All_DDM3,Numeric,,,
AFA_10k_Above_5yr_Pol_All_DDM3,Numeric,,,
Violation_5yr_Pol_All_DDM3,Numeric,,,
Minor_Incidental_5yr_Pol_All_DDM,Numeric,,,
Minor_Dangerous_5yr_Pol_All_DDM3,Numeric,,,
Speed_Typical_5yr_Pol_All_DDM3,Numeric,,,
Major_5yr_Pol_All_DDM3,Numeric,,,
DUI_5yr_Pol_All_DDM3,Numeric,,,
Max_Number_RateOcc_3yr_SingleDri,Numeric,,,
Ratable_Occurrence_3yr_Pol_All_D,Numeric,,,
AFA_750_Above_3yr_Pol_All_DDM3,Numeric,,,
AFA_750_9999_3yr_Pol_All_DDM3,Numeric,,,
AFA_10k_Above_3yr_Pol_All_DDM3,Numeric,,,
Violation_3yr_Pol_All_DDM3,Numeric,,,
Minor_Incidental_3yr_Pol_All_DDM,Numeric,,,
Minor_Dangerous_3yr_Pol_All_DDM3,Numeric,,,
Speed_Typical_3yr_Pol_All_DDM3,Numeric,,,
Major_3yr_Pol_All_DDM3,Numeric,,,
DUI_3yr_Pol_All_DDM3,Numeric,,,
Broad_Occurrence_5yr_Pol_All_DDM,Numeric,,,
Broad_Occurrence_No_NAF_5yr_Pol_,Numeric,,,
Broad_Occurrence_No_Zero_5yr_Pol,Numeric,,,
Broad_Occurrence_No_NAF_No_Zero5,Numeric,,,
AFA_0_to_749_5yr_Pol_All_DDM3,Numeric,,,
AFA_1_to_749_5yr_Pol_All_DDM3,Numeric,,,
NAF_0_Above_5yr_Pol_All_DDM3,Numeric,,,
NAF_0_to_749_5yr_Pol_All_DDM3,Numeric,,,
NAF_1_Above_5yr_Pol_All_DDM3,Numeric,,,
NAF_1_to_749_5yr_Pol_All_DDM3,Numeric,,,
NAF_750_Above_5yr_Pol_All_DDM3,Numeric,,,
Comp_Glass_0_Above_5Yr_PolyTtl_A,Numeric,,,
Comp_Glass_1_Above_5Yr_PolyTtl_A,Numeric,,,
Comp_NonGlass_0_99_5Yr_PolyTtl_A,Numeric,,,
Comp_tow_NonG_0_99_5Yr_PolyTtl_A,Numeric,,,
Comp_NonGlass_1_99_5Yr_PolyTtl_A,Numeric,,,
Comp_tow_NonG_1_99_5Yr_PolyTtl_A,Numeric,,,
Comp_NonGlass_100_Above_5Yr_Poly,Numeric,,,
Comp_NonGlass_100_1000_5Yr_Poly,Numeric,,,
Comp_NonGlass_1001_Above_5Yr_Pol,Numeric,,,
Comp_Tow_Gls_0_Above_5yr_Pol,Numeric,,,
Comp_Tow_Gls_1_Above_5yr_Pol,Numeric,,,
Comp_Tow_Gls_0_99_5yr_Pol,Numeric,,,
Comp_Tow_Gls_1_99_5yr_Pol,Numeric,,,
Comp_Tow_Gls_100_Above_5yr_Pol,Numeric,,,
Comp_Tow_Gls_100_1000_5yr_Pol,Numeric,,,
Comp_Tow_Gls_1001_Above_5yr_Pol,Numeric,,,
Tow_5yr_Pol,Numeric,,,
MedPIP_5yr_Pol_All,Numeric,,,
UM_5yr_Pol_All,Numeric,,,
Undisc_PU_5yr_Pol_All_DDM3,Numeric,,,
Unlist_Broad_5yr_Pol_All_DDM,Numeric,,,
Ratable_Occurrence_5yr_Unlisted,Numeric,,,
Violation_5yr_Unlisted,Numeric,,,
AFA_750_Above_5yr_Unlisted,Numeric,,,
Unlist_AFA_1_to_750_5yr_Pol_All,Numeric,,,
Unlist_NAF_1plus_5yr_Pol_All,Numeric,,,
